1,…………
2,……さあ？
3,……！
4,……？
5,「しまい込んだ気持ち」
6,あ、はい
7,ああ、それでいい。それが普通だ。ましてお前はまだ入社して２ヶ月なんだから
8,あの、カヅキさん――
9,いいや
10,いつも毎週のミーティングで渡される、回収案件についての情報がまとめられたファイルと同じものだ。
11,いつも通りでいること。
12,いや、ツカサだけでいい
13,お前は、なるべくこれまで通り、アイラとやっていってくれ
14,お前はこれまで、そういう顔はしなかった。だからこそアイラとやってこれたかもしれないな
15,これからも俺とアイラは一緒だ。\nでもそれは、あくまでもパートナーとしての関係。
16,これにサインすれば……アイラが回収されるのは、確定、するんですよね……
17,これは……
18,すまねえな
19,そこは、私だって評価してるんだぞ
20,そのサインは、ただの確認だ
21,その後、俺とアイラはエルさんたちと合流し、最後まで花火を見終えてからカーニバルを後にした。
22,その気持ちがありがたかった。
23,それが、今の俺がアイラにできる、せめてものことなんだ。
24,それとも、お前がやるか？　本来はマークスマンの仕事だが
25,それは、決して表に出しちゃいけない感情なんだ。
26,それは、確かに回収同意書だった。
27,だから、お前がそこまで責任持つ必要はねえんだ
28,だが、アイラの回収についてはお前ひとりに押し付けるつもりはねえよ
29,ちょっとだけ、アイラとの距離が縮まったような気がした。
30,でも俺は、最後の一歩を踏み出さなかった。
31,なんだろう？
32,はい……
33,はい。ありがとうございます
34,アイラ
35,アイラ_ac6aa65f9207ab592ab301672d0002c7
36,アイラの、回収同意書だ。サインは、お前がするんだ
37,アイラのためにも、俺自身のためにも。
38,アイラの回収は、あいつが生み出された瞬間に“確定”してるんだよ
39,アイラへの気持ちは、心の奥にしまい込んだ。
40,アイラも一緒の方がいいですか？
41,カヅキ
42,カヅキ_c03b59ac1b0be2f5c790f7a9f68e5eab
43,カヅキさんの言う通りだ。\n俺が笑顔でいなくてどうするんだ。
44,カヅキさんはその言葉で、俺の感じている罪悪感を少しでも和らげようとしている。
45,カヅキさんは俺の反論を許さなかった。
46,ツカサ
47,ツカサ。ちょっといいか
48,パートナーのお前が、サインしろ
49,代わりはいない
50,会議室に入ると、カヅキさんは黙って俺にファイルを差し出してきた。
51,会議室に来るよううながしてくる。
52,俺が……サインを……。
53,俺だけを個別に呼び出して渡してくるなんて。こんなこと、今までなかった。いったいなんだろう？
54,俺とアイラは顔を見合わせた。
55,俺には、できません……
56,俺はうなだれた。カヅキさんの目をまともに見られなかった。
57,俺はもう一度ゴクリと唾を飲み込むと、奥歯を噛みしめて一気に自分の名前をサインした。
58,俺はペンを持った。
59,俺は頭を下げると、会議室を後にした。
60,出右
61,前
62,唐突に、これまで回収する側だった自分が、回収される側になったのだという事実を実感した。
63,回収対象の名は……アイラ。
64,回収役は、別に用意する
65,実質的に、回収対象であるアイラの“所有者”は、俺ということになる。
66,数日後。
67,暗い顔するなよ。アイラまでそれに引きずられちまう
68,疑問に思いつつ、ファイルの中身を確認してみた。
69,目_通常:口_通常
70,空白の署名欄。そこに自分の名前を書こうとする。\nそれだけで、指先が震えた。\nひどい吐き気までもよおしてきた。
71,突然、カヅキさんが俺だけに声をかけてきた。
72,誰を回収担当にするかは、課長とも相談しておく
73,頬を強くパンパンと手で叩く。
