1,“アイラのそばに行く”
2,“ブレーカーを見に行く”
3,“真面目な怪談話をする”
4,“笑える怪談話をする”
5,…………
6,……あのさ。お詫びになるかどうか分からないけど
7,……あれ？　ここで笑ってくれると思ってたんだけど。
8,……っ！！
9,……どのスイッチもオンになっている。
10,……もう、無理
11,……！
12,「キャンドルで過ごす夜」
13,あ、そうだ
14,あ、ついた
15,あちこちで淡い光を放つキャンドル。アイラはそれに見惚れた。
16,あちち！
17,あのね、これは友達の友達から聞いた話なんだけど……
18,ありがとう
19,あれって？
20,あれ？　アイラ？
21,いいね、こういうの
22,いっぱいつけてくれてありがとう、ツカサ
23,う、うん
24,うぅ……
25,うん……。こういうの、好きかも
26,うん、もっとかかると思ってた
27,うん、俺は平気
28,うん、素敵
29,うん！
30,うーん……
31,ええっ！？　大丈夫！？
32,おかしいって、な、な、なにが……
33,おまじない、みたいな？　怖いの怖いの飛んでけ～って
34,お茶、こぼしちゃった！
35,か、怪談……！
36,こういうシチュエーションで怪談話を披露するみたいなのってあるよね
37,こんなにたくさん、よく持ってたね
38,しばらく、このまま……
39,すぐに修理を開始しますが、数時間ほどかかる見込みです。館内の皆さまにはご迷惑をおかけしますが、復旧まで今しばらくお待ちください
40,すごい、キレイ
41,そ、そんなことっ
42,そ、そんなに！？
43,そうだったんだ
44,そのとき、どこからともなくメロディが聞こえた。
45,そのとき、不意に――。
46,その様子に俺は安堵して、ほっと一服したくなってきた。
47,それから俺たちはキャンドルを片付けて、普段通りの時間に戻る。
48,それから少しして、俺のことを抱きしめ返してきた。
49,それにしても……
50,それは……？
51,それはオシャレなレストランでの食事のようで、なんとなくロマンチックな空気を感じた。
52,それを聞くと、俺は冷静にならなきゃという気持ちになった。
53,たまにはこういうアクシデントもいいね
54,だってさ、アイラ
55,ちょっともらうね
56,ちょっと迫力はないけど
57,で、持ち寄った怪談話を一通りして、部屋の電気をつけたとき、おかしいなって思ったらしいんだ
58,でも、あのキャンドルだけのあたたかい光景は、頭の中にはっきりと残っていて……。
59,でも、さすがにマシュマロは今、ないよね？
60,でも、部屋があんまり明るくないと、まだ怖い感じがする
61,でも部屋の中は恐怖から一変して、優しい雰囲気で溢れた。
62,ということは、停電の原因はブレーカーじゃなくて、もっと根本的なところにあるんだろう。
63,とはいえ、ほとんど見えないんだけど。
64,どういたしまして
65,どうかな？
66,どうしよう！　暗くなっちゃった！　なんにも見えないよ！
67,どうやら、この状況でのこの話はダメだったみたいだ。
68,どう？　俺の怪談話、怖かった？
69,な、なに？
70,なお、懐中電灯の貸し出しを行っておりますので、必要な方は管理室まで取りに来てください
71,ねえ、ツカサはあれ、やったことある？
72,は、話が飛んだね
73,ひゃっ、え、なっ、ななっ！？
74,まあ、母さんが停電中に食べちゃったからなんだけどね
75,み、妙って？
76,もしかして、怖かった？
77,やっぱり、そうなんだ
78,よかった
79,わ……！
80,アイラ
81,アイラ_069d3e4c619ec14545549037972c353d
82,アイラ_2d8d30277c8e7b893b9d72ac88e68e63
83,アイラ_33d65044df0a2cf7979b825d4306fc01
84,アイラ_4a06e8fec219ec1305e48daf47cbbe0e
85,アイラ_4e62fff3ff332e430a3dfd3943bfd6a4
86,アイラ_506c6a776b928c8120f577fe306cc47e
87,アイラ_58231aa79cf1e22d6aa2be5d91753332
88,アイラ_621f621e6fbbd452d30e7da29ed89641
89,アイラ_70bbc05f991f90a1a9f9b1ab24154bc5
90,アイラ_7e92efcf3cb12cdd71695579b6d3bb8b
91,アイラ_87ad8aa774e6be29e51c570e21ca2847
92,アイラ_991c7edf49ba24239b69307e3199d41a
93,アイラ_b67c74096ca146c55a8ba27966e38be4
94,アイラ_c2e6e61b05a2ac54229f6771de02e0ab
95,アイラ_cbe353347dd52450abbdbdeb8fb7b3f5
96,アイラ_cebd67db3934d4ff61196197781725fc
97,アイラ_cefcc72441e21842250501eff2465d5e
98,アイラ_d917ec5a0a663818fca984b1e223ae09
